Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1677542400,2023-02-28,28034348,31692500,102,4993390,,20544,37671721,102412605
1677628800,2023-03-01,27996076,31665691,102,4993540,,20550,37671723,102347682
1677715200,2023-03-02,27964667,31681798,102,4993642,,20582,37671725,102332516
1677801600,2023-03-03,27929146,31726636,102,4993646,,20541,37671777,102341848
1677888000,2023-03-04,27936776,31856398,102,4996660,,20599,37671779,102482314
1677974400,2023-03-05,27951112,28626529,102,4996379,,20579,37673789,99268490
1678060800,2023-03-06,27853525,28615296,102,4996653,,20572,37673789,99159937
1678147200,2023-03-07,27160196,28263628,102,4706739,,20582,37673791,97825038
1678233600,2023-03-08,27499876,28700394,102,4706627,,20566,37673792,98601357
1678320000,2023-03-09,27479160,28959676,102,4706786,,20553,37673798,98840075
1678406400,2023-03-10,27307295,28966123,102,4706713,,20568,37673811,98674612
1678492800,2023-03-11,27329796,32803482,102,7089809,,20571,37673814,104917574
1678579200,2023-03-12,20733032,31823211,102,3326824,,20514,37693921,93597604
1678665600,2023-03-13,20483668,32801963,103,4774238,,20642,37692760,95773374
1678752000,2023-03-14,20233546,33207592,103,4791079,,20580,37691755,95944655
1678838400,2023-03-15,19969948,33174682,102,4768879,,20560,37690749,95624920
1678924800,2023-03-16,20109664,33350639,103,4810134,,20683,37690769,95981992
1679011200,2023-03-17,20225706,32973409,103,4805334,,20662,37689768,95714982
1679097600,2023-03-18,19913547,32930508,102,2925344,,20642,37689772,93479915
1679184000,2023-03-19,19898988,28944353,103,2925941,,20704,37689750,89479839
1679270400,2023-03-20,20193808,28999454,103,2928897,,20704,37689745,89832711
1679356800,2023-03-21,20237400,29207416,103,2975856,,20745,37689749,90131269
1679443200,2023-03-22,20118489,29284978,103,2969923,,20683,37689757,90083933
1679529600,2023-03-23,19797050,29402273,103,2977131,,20601,37689189,89886347
1679616000,2023-03-24,19797692,29349542,103,2974157,,20621,37689189,89831304
1679702400,2023-03-25,19845933,29632599,103,2986053,,20704,37689189,90174581
1679788800,2023-03-26,19852987,29684122,103,2984184,,20704,37689189,90231289
1679875200,2023-03-27,19622079,29682378,102,2972146,,20539,37689186,89986430
1679961600,2023-03-28,19572828,29662893,102,2975258,,20621,37689188,89920890
1680048000,2023-03-29,19552032,29951983,102,2971980,,20580,37689188,90185865
1680134400,2023-03-30,19526987,30393522,102,2970478,,20547,37689188,90600824
1680220800,2023-03-31,19583430,30107725,103,2975595,,20601,37689188,90376642
1680307200,2023-04-01,19528340,29979340,102,2972614,,20580,37689188,90190164
1680393600,2023-04-02,19517281,29971724,102,2972614,,20580,37689188,90171489
1680480000,2023-04-03,19537492,29934642,102,2972557,,20560,37688994,90154347
1680566400,2023-04-04,19436229,30034981,102,2971401,,20548,37688996,90152257
1680652800,2023-04-05,19396764,29893811,102,2972146,,20560,37688401,89971784
1680739200,2023-04-06,19295503,29989037,102,2970151,,20558,37688404,89963755
1680825600,2023-04-07,19285126,29908034,102,2970151,,20580,37688404,89872397
1680912000,2023-04-08,19287038,29964094,102,2969193,,20580,37688404,89929411
1680998400,2023-04-09,19303451,30004548,103,2973286,,20621,37688404,89990413
1681084800,2023-04-10,19206665,29905938,102,2969478,,20560,37688413,89791156
1681171200,2023-04-11,19133080,29996154,102,2970186,,20621,37688418,89808561
1681257600,2023-04-12,19098322,30117218,102,2968623,,20580,37813852,90018697
1681344000,2023-04-13,19079519,30334576,103,2970267,,20601,37813878,90218944
1681430400,2023-04-14,19035406,30375932,103,2970267,,20580,37813878,90216166
