Date,TVL_USD,TVL_ALGO
2022-11-16 00:00:00,231710464,818406496
2022-11-17 00:00:00,226586602,815821045
2022-11-18 00:00:00,219895093,814906027
2022-11-19 00:00:00,244548979,814433210
2022-11-20 00:00:00,231570740,768996054
2022-11-22 00:00:00,200177975,811359488
2022-11-24 00:00:00,200017724,803500630
2022-11-25 00:00:00,195164574,800363990
2022-11-26 00:00:00,196662958,803648492
2022-11-27 00:00:00,194720867,804290033
2022-11-28 00:00:00,194684640,804924544
2022-11-29 00:00:00,191801444,808707047
2022-11-30 00:00:00,199296571,825948198
2022-12-01 00:00:00,198586974,796255827
2022-12-02 00:00:00,195741099,808687149
2022-12-04 00:00:00,193521199,811430052
2022-12-06 00:00:00,192549242,810535707
2022-12-07 00:00:00,190275905,856230869
2022-12-08 00:00:00,183845319,815864696
2022-12-09 00:00:00,184422763,812664199
2022-12-10 00:00:00,185784302,814632626
2022-12-12 00:00:00,182314675,814302081
2022-12-14 00:00:00,181541120,809308200
2022-12-15 00:00:00,180505424,814221083
2022-12-16 00:00:00,171037080,813736432
2022-12-17 00:00:00,154111633,828110357
2022-12-18 00:00:00,158882773,813163723
2022-12-20 00:00:00,147722717,843919106
2022-12-21 00:00:00,148592297,825083796
2022-12-22 00:00:00,143793956,829292410
2022-12-23 00:00:00,143801748,832230033
2022-12-24 00:00:00,143429188,838873505
2022-12-25 00:00:00,142309345,838120996
2022-12-27 00:00:00,143445839,833891093
2022-12-28 00:00:00,146395633,857605038
2022-12-29 00:00:00,144472431,864115925
2022-12-30 00:00:00,143081520,864028100
2022-12-31 00:00:00,143323495,845245875
2023-01-01 00:00:00,143432908,805817509
2023-01-03 00:00:00,143626937,791867421
2023-01-04 00:00:00,143105720,773956795
2023-01-06 00:00:00,90876262,493849066
2023-01-07 00:00:00,90876014,478702366
2023-01-08 00:00:00,96549876,496005516
2023-01-09 00:00:00,99684852,495903080
2023-01-11 00:00:00,147337549,720138551
2023-01-12 00:00:00,152167268,720229348
2023-01-13 00:00:00,183369228,861389236
2023-01-15 00:00:00,226842532,991198356
2023-01-16 00:00:00,248921843,1061776595
2023-01-18 00:00:00,239468507,1045139579
2023-01-19 00:00:00,220637946,1053193621
2023-01-20 00:00:00,227122737,1043115582
2023-01-21 00:00:00,245213582,1021264455
2023-01-22 00:00:00,246337405,1028449843
2023-01-23 00:00:00,253824540,1028706324
2023-01-25 00:00:00,242315827,1022042980
2023-01-26 00:00:00,250413250,1020730072
2023-01-27 00:00:00,248167388,972198931
2023-01-28 00:00:00,261719945,1013208826
2023-01-29 00:00:00,261904213,997418760
2023-01-30 00:00:00,264834222,1102171690
2023-02-01 00:00:00,247316460,1020826357
2023-02-02 00:00:00,260940373,1018784960
2023-02-03 00:00:00,268832360,991346527
2023-02-04 00:00:00,274689541,1026664574
2023-02-05 00:00:00,268569373,1043064821
2023-02-07 00:00:00,261171473,1022711686
2023-02-08 00:00:00,280061381,965179745
2023-02-09 00:00:00,282394816,1107100690
2023-02-10 00:00:00,255873952,1014792944
2023-02-11 00:00:00,255299963,989926106
2023-02-12 00:00:00,259248187,1046393546
2023-02-14 00:00:00,249463499,1019700051
2023-02-15 00:00:00,256414720,938543292
2023-02-16 00:00:00,273548506,1054693640
2023-02-17 00:00:00,263172129,965957156
2023-02-18 00:00:00,275305825,1005485035
2023-02-19 00:00:00,275204892,989216198
2023-02-21 00:00:00,283776683,996823403
2023-02-22 00:00:00,274844841,1012383247
2023-02-24 00:00:00,267773831,995852681
2023-02-25 00:00:00,258430206,1003885350
2023-02-27 00:00:00,253723811,990889438
2023-02-28 00:00:00,251373151,982563501
2023-03-01 00:00:00,242742855,988165498
2023-03-02 00:00:00,247646943,1020071931
2023-03-03 00:00:00,226290085,969151476
2023-03-04 00:00:00,229418279,1018414699
2023-03-05 00:00:00,221906527,977906432
2023-03-06 00:00:00,221039657,976263205
2023-03-07 00:00:00,219502062,1007269075
2023-03-09 00:00:00,195518421,965783809
2023-03-10 00:00:00,185996542,958854864
2023-03-11 00:00:00,185065887,980440256
2023-03-12 00:00:00,175925321,868351068
2023-03-14 00:00:00,197324439,924950573
2023-03-15 00:00:00,209549515,1017971897
2023-03-16 00:00:00,194427708,923506677
2023-03-18 00:00:00,215479333,946379352
2023-03-20 00:00:00,211737411,956942629
2023-03-21 00:00:00,202798637,957814820
2023-03-23 00:00:00,205586304,953520189
2023-03-25 00:00:00,203042292,961656978
2023-03-27 00:00:00,203310135,961720537
2023-03-29 00:00:00,196523806,970127378
2023-03-30 00:00:00,222331248,944557050
2023-03-31 00:00:00,214780161,950009999
2023-04-01 00:00:00,156391313,698752598
2023-04-02 00:00:00,144602832,672765319
2023-04-03 00:00:00,139889712,651513458
